id,age_group,response_id
58551,21 months,1798
57943,25 months,
57914,25 months,1800
58000,25 months,
58046,25 months,
58088,25 months,1804
58530,21 months,
57709,30 months,1806
57707,30 months,1807
57537,30 months,1808
57592,30 months,
57552,30 months,
58049,30 months,1811
57666,30 months,
58328,30 months,1813
58262,21 months,
58681,21 months,1814
58304,21 months,
58550,25 months,
58096,25 months,
58435,21 months,1821
58173,21 months,
58394,21 months,
58335,21 months,
57983,25 months,
58172,25 months,
58079,25 months,1825
57642,30 months,1826
58132,25 months,1828
58310,25 months,
58128,25 months,1829
58093,25 months,
58176,25 months,
58165,25 months,
58068,25 months,1833
58137,25 months,
58720,25 months,1835
58523,21 months,1836
58190,25 months,1837
58109,25 months,
57566,30 months,
58146,25 months,
58299,21 months,
57742,30 months,
58298,25 months,1848
58256,25 months,
57670,30 months,1845
57914,30 months,1846
57902,30 months,
58724,21 months,
58262,25 months,
58000,30 months,1852
58286,25 months,
57725,30 months,
57885,30 months,
57919,30 months,1856
57717,30 months,
58547,30 months,
58308,21 months,1859
57908,30 months,1860
58737,21 months,1861
57943,30 months,1862
58361,25 months,1863
57805,30 months,
57788,30 months,1865
58329,21 months,
57815,30 months,
58761,21 months,
58333,21 months,1869
57983,30 months,
58124,30 months,
58265,30 months,1873
58420,30 months,1875
58088,30 months,
58136,30 months,1877
58137,30 months,
58298,30 months,1879
58725,25 months,1880
58139,30 months,1881
58120,30 months,
58176,30 months,1884
58530,30 months,
59385,21 months,1885
59175,21 months,1886
58286,30 months,
